UniProt,Protein Name,Organism
P81418,Antimicrobial peptide 1,Phytolacca americana (American pokeweed)
P24296,Non-specific lipid-transfer protein,Triticum aestivum (Wheat)
P01542,Crambin,Crambe hispanica subsp. abyssinica (Abyssinian kale)
P07597,Non-specific lipid-transfer protein 1,Hordeum vulgare (Barley)
Q0IQK9,Non-specific lipid-transfer protein 1,Oryza sativa subsp. japonica (Rice)
P20230,Defensin-like protein 1,Hordeum vulgare (Barley)
P80915,Antimicrobial peptide 1,Macadamia integrifolia (Macadamia nut)
P01538,Viscotoxin-A3,Viscum album (European mistletoe)
P10969,Agglutinin isolectin 3,Triticum aestivum (Wheat)
P20158,Defensin-like protein 1,Triticum aestivum (Wheat)
P84645,Palicourein,Palicourea condensata (Cappel)
Q42952,Non-specific lipid-transfer protein 1,Nicotiana tabacum (Common tobacco)
P56871,Circulin-A,Chassalia parviflora (None)
P81929,Defensin-1,Pisum sativum (Garden pea)
P60057,Hellethionin-D,Helleborus purpurascens (Purple hellebore)
Q9AYP9,Lectin-C,Phytolacca americana (American pokeweed)
P01543,Purothionin A-1,Triticum aestivum (Wheat)
Q6T418,Plant defensin,Vigna radiata (Mung bean)
P83434,Non-specific lipid-transfer protein 1,Vigna radiata var. radiata (Mung bean)
Q8H6Q1,Floral defensin-like protein 1,Petunia hybrida (Petunia)
P19656,Non-specific lipid-transfer protein,Zea mays (Maize)
P0C589,Pro-tricyclons,Viola arvensis (European field pansy)
P56879,Circulin-B,Chassalia parviflora (None)
P81402,Non-specific lipid-transfer protein 1,Prunus persica (Peach)
P84522,Leaf cyclotide 1,Viola hederacea (Australian violet)
P83790,Lectin-D2,Phytolacca americana (American pokeweed)
P85966,Antimicrobial peptide 1b,Triticum kiharae (Wheat)
P85231,Leaf cyclotide 2,Viola hederacea (Australian violet)
P85175,Kalata-B8,Oldenlandia affinis (None)
P85177,Cycloviolacin-O14,Viola odorata (Sweet violet)
P58456,Kalata-B5,Oldenlandia affinis (None)
P11218,Lectin/endochitinase 1,Urtica dioica (Great nettle)
A0AT29,Non-specific lipid-transfer protein 2,Lens culinaris (Lentil)
P21742,Beta-hordothionin,Hordeum vulgare (Barley)
F2Z241,Sugarcane defensin 5,Saccharum officinarum (Sugarcane)
G7L736,Defensin MtDef4.2,Medicago truncatula (Barrel medic)
A0A182DV18,Non-specific lipid-transfer protein,Pisum sativum (Garden pea)
P08943,Viscotoxin-B,Viscum album (European mistletoe)
