Code,Organism,Method,Resolution,Uniprot
1F2S,Bos taurus,X-RAY DIFFRACTION,1.79,P00760
2LJS,Momordica cochinchinensis,SOLUTION NMR,,P82410
2PO8,Momordica cochinchinensis,SOLUTION NMR,,P82409
2LET,Ecballium elaterium,SOLUTION NMR,,P12071
2IT8,Momordica cochinchinensis,SOLUTION NMR,,P82409
5WOV,Momordica cochinchinensis,SOLUTION NMR,,NoUniprot
2C4B,Bacillus amyloliquefaciens,X-RAY DIFFRACTION,1.3,P82409
4GUX,Bos taurus,X-RAY DIFFRACTION,1.8,P00760
1LU0,Cucurbita maxima,X-RAY DIFFRACTION,1.03,P01074
6CDX,Momordica cochinchinensis,X-RAY DIFFRACTION,1.0,P82408
6MSL,Homo sapiens,X-RAY DIFFRACTION,3.1,P06756
